"movie","views","title"
"5481",65,"Austin Powers in Goldmember (2002)"
"48385",65,"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)"
"56367",65,"Juno (2007)"
"70286",65,"District 9 (2009)"
"353",64,"Crow, The (1994)"
"786",64,"Eraser (1996)"
"1035",64,"Sound of Music, The (1965)"
"1234",64,"Sting, The (1973)"
"1954",64,"Rocky (1976)"
"2710",64,"Blair Witch Project, The (1999)"
"4025",64,"Miss Congeniality (2000)"
"4447",64,"Legally Blonde (2001)"
"48774",64,"Children of Men (2006)"
"55820",64,"No Country for Old Men (2007)"
"435",63,"Coneheads (1993)"
"1090",63,"Platoon (1986)"
"2657",63,"Rocky Horror Picture Show, The (1975)"
"5502",63,"Signs (2002)"
"158",62,"Casper (1995)"
"173",62,"Judge Dredd (1995)"
"1127",62,"Abyss, The (1989)"
"1304",62,"Butch Cassidy and the Sundance Kid (1969)"
"1374",62,"Star Trek II: The Wrath of Khan (1982)"
"3081",62,"Sleepy Hollow (1999)"
"3421",62,"Animal House (1978)"
"3671",62,"Blazing Saddles (1974)"
"7143",62,"Last Samurai, The (2003)"
"41566",62,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
"56174",62,"I Am Legend (2007)"
"509",61,"Piano, The (1993)"
"552",61,"Three Musketeers, The (1993)"
"2321",61,"Pleasantville (1998)"
"2640",61,"Superman (1978)"
"3253",61,"Wayne's World (1992)"
"3527",61,"Predator (1987)"
"3717",61,"Gone in 60 Seconds (2000)"
"5459",61,"Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002)"
"8644",61,"I, Robot (2004)"
"30793",61,"Charlie and the Chocolate Factory (2005)"
"51255",61,"Hot Fuzz (2007)"
"466",60,"Hot Shots! Part Deux (1993)"
"596",60,"Pinocchio (1940)"
"903",60,"Vertigo (1958)"
"1377",60,"Batman Returns (1992)"
"2006",60,"Mask of Zorro, The (1998)"
"3471",60,"Close Encounters of the Third Kind (1977)"
"5299",60,"My Big Fat Greek Wedding (2002)"
"420",59,"Beverly Hills Cop III (1994)"
"1199",59,"Brazil (1985)"
"1252",59,"Chinatown (1974)"
"1500",59,"Grosse Pointe Blank (1997)"
"1552",59,"Con Air (1997)"
"2302",59,"My Cousin Vinny (1992)"
"3033",59,"Spaceballs (1987)"
"3535",59,"American Psycho (2000)"
"6378",59,"Italian Job, The (2003)"
"6942",59,"Love Actually (2003)"
"33679",59,"Mr. & Mrs. Smith (2005)"
"68358",59,"Star Trek (2009)"
"112852",59,"Guardians of the Galaxy (2014)"
"370",58,"Naked Gun 33 1/3: The Final Insult (1994)"
"708",58,"Truth About Cats & Dogs, The (1996)"
"953",58,"It's a Wonderful Life (1946)"
"1207",58,"To Kill a Mockingbird (1962)"
"1230",58,"Annie Hall (1977)"
"1394",58,"Raising Arizona (1987)"
"1608",58,"Air Force One (1997)"
"2167",58,"Blade (1998)"
"5669",58,"Bowling for Columbine (2002)"
"6502",58,"28 Days Later (2002)"
"34162",58,"Wedding Crashers (2005)"
"54001",58,"Harry Potter and the Order of the Phoenix (2007)"
"69844",58,"Harry Potter and the Half-Blood Prince (2009)"
"73017",58,"Sherlock Holmes (2009)"
"81845",58,"King's Speech, The (2010)"
"160",57,"Congo (1995)"
"350",57,"Client, The (1994)"
"908",57,"North by Northwest (1959)"
"1203",57,"12 Angry Men (1957)"
"1276",57,"Cool Hand Luke (1967)"
"2005",57,"Goonies, The (1985)"
"2268",57,"Few Good Men, A (1992)"
"2470",57,"Crocodile Dundee (1986)"
"8641",57,"Anchorman: The Legend of Ron Burgundy (2004)"
"80463",57,"Social Network, The (2010)"
"1148",56,"Wallace & Gromit: The Wrong Trousers (1993)"
"1302",56,"Field of Dreams (1989)"
"1641",56,"Full Monty, The (1997)"
"1777",56,"Wedding Singer, The (1998)"
"2395",56,"Rushmore (1998)"
"2529",56,"Planet of the Apes (1968)"
"2599",56,"Election (1999)"
"2671",56,"Notting Hill (1999)"
"4370",56,"A.I. Artificial Intelligence (2001)"
"53125",56,"Pirates of the Caribbean: At World's End (2007)"
"70",55,"From Dusk Till Dawn (1996)"
"432",55,"City Slickers II: The Legend of Curly's Gold (1994)"
"2080",55,"Lady and the Tramp (1955)"
"2804",55,"Christmas Story, A (1983)"
"4308",55,"Moulin Rouge (2001)"
"4720",55,"Others, The (2001)"
"5956",55,"Gangs of New York (2002)"
"54503",55,"Superbad (2007)"
"78499",55,"Toy Story 3 (2010)"
"7",54,"Sabrina (1995)"
"168",54,"First Knight (1995)"
"784",54,"Cable Guy, The (1996)"
"2406",54,"Romancing the Stone (1984)"
"2572",54,"10 Things I Hate About You (1999)"
"4018",54,"What Women Want (2000)"
"4816",54,"Zoolander (2001)"
"59784",54,"Kung Fu Panda (2008)"
"91500",54,"The Hunger Games (2012)"
"106782",54,"Wolf of Wall Street, The (2013)"
"122904",54,"Deadpool (2016)"
"172",53,"Johnny Mnemonic (1995)"
"485",53,"Last Action Hero (1993)"
"673",53,"Space Jam (1996)"
"1282",53,"Fantasia (1940)"
"1997",53,"Exorcist, The (1973)"
"2078",53,"Jungle Book, The (1967)"
"2699",53,"Arachnophobia (1990)"
"2701",53,"Wild Wild West (1999)"
"2712",53,"Eyes Wide Shut (1999)"
"2947",53,"Goldfinger (1964)"
"3489",53,"Hook (1991)"
"3911",53,"Best in Show (2000)"
"49530",53,"Blood Diamond (2006)"
"71535",53,"Zombieland (2009)"
"76093",53,"How to Train Your Dragon (2010)"
"3",52,"Grumpier Old Men (1995)"
"225",52,"Disclosure (1994)"
"1466",52,"Donnie Brasco (1997)"
"1639",52,"Chasing Amy (1997)"
"3160",52,"Magnolia (1999)"
"3552",52,"Caddyshack (1980)"
"6870",52,"Mystic River (2003)"
"30707",52,"Million Dollar Baby (2004)"
"45499",52,"X-Men: The Last Stand (2006)"
"52973",52,"Knocked Up (2007)"
"109374",52,"Grand Budapest Hotel, The (2014)"
"145",51,"Bad Boys (1995)"
"1215",51,"Army of Darkness (1993)"
"1645",51,"The Devil's Advocate (1997)"
"2100",51,"Splash (1984)"
"4239",51,"Blow (2001)"
"4776",51,"Training Day (2001)"
"4848",51,"Mulholland Drive (2001)"
"333",50,"Tommy Boy (1995)"
"910",50,"Some Like It Hot (1959)"
"2105",50,"Tron (1982)"
"2424",50,"You've Got Mail (1998)"
"3785",50,"Scary Movie (2000)"
"5010",50,"Black Hawk Down (2001)"
"8361",50,"Day After Tomorrow, The (2004)"
"8464",50,"Super Size Me (2004)"
"33166",50,"Crash (2004)"
"34048",50,"War of the Worlds (2005)"
"34405",50,"Serenity (2005)"
"88125",50,"Harry Potter and the Deathly Hallows: Part 2 (2011)"
"96079",50,"Skyfall (2012)"
"116797",50,"The Imitation Game (2014)"
"5",49,"Father of the Bride Part II (1995)"
"216",49,"Billy Madison (1995)"
"661",49,"James and the Giant Peach (1996)"
"2144",49,"Sixteen Candles (1984)"
"2641",49,"Superman II (1980)"
"3176",49,"Talented Mr. Ripley, The (1999)"
"4643",49,"Planet of the Apes (2001)"
"5464",49,"Road to Perdition (2002)"
"5991",49,"Chicago (2002)"
"45447",49,"Da Vinci Code, The (2006)"
"186",48,"Nine Months (1995)"
"745",48,"Wallace & Gromit: A Close Shave (1995)"
"1275",48,"Highlander (1986)"
"1729",48,"Jackie Brown (1997)"
"1748",48,"Dark City (1998)"
"2019",48,"Seven Samurai (Shichinin no samurai) (1954)"
"2694",48,"Big Daddy (1999)"
"2763",48,"Thomas Crown Affair, The (1999)"
"3000",48,"Princess Mononoke (Mononoke-hime) (1997)"
"7458",48,"Troy (2004)"
"8784",48,"Garden State (2004)"
"30749",48,"Hotel Rwanda (2004)"
"134130",48,"The Martian (2015)"
"783",47,"Hunchback of Notre Dame, The (1996)"
"899",47,"Singin' in the Rain (1952)"
"1092",47,"Basic Instinct (1992)"
"1320",47,"Alien³ (a.k.a. Alien 3) (1992)"
"1358",47,"Sling Blade (1996)"
"1367",47,"101 Dalmatians (1996)"
"1921",47,"Pi (1998)"
"1994",47,"Poltergeist (1982)"
"2001",47,"Lethal Weapon 2 (1989)"
"2539",47,"Analyze This (1999)"
"2717",47,"Ghostbusters II (1989)"
"4014",47,"Chocolat (2000)"
"5679",47,"Ring, The (2002)"
"7293",47,"50 First Dates (2004)"
"8529",47,"Terminal, The (2004)"
"77561",47,"Iron Man 2 (2010)"
"81834",47,"Harry Potter and the Deathly Hallows: Part 1 (2010)"
"122882",47,"Mad Max: Fury Road (2015)"
"44",46,"Mortal Kombat (1995)"
"112",46,"Rumble in the Bronx (Hont faan kui) (1995)"
"802",46,"Phenomenon (1996)"
"1396",46,"Sneakers (1992)"
"1884",46,"Fear and Loathing in Las Vegas (1998)"
"2002",46,"Lethal Weapon 3 (1992)"
"2076",46,"Blue Velvet (1986)"
"3752",46,"Me, Myself & Irene (2000)"
"4085",46,"Beverly Hills Cop (1984)"
"5060",46,"M*A*S*H (a.k.a. MASH) (1970)"
"5902",46,"Adaptation (2002)"
"5995",46,"Pianist, The (2002)"
"7254",46,"The Butterfly Effect (2004)"
"47099",46,"Pursuit of Happyness, The (2006)"
"54272",46,"Simpsons Movie, The (2007)"
"64614",46,"Gran Torino (2008)"
"196",45,"Species (1995)"
"236",45,"French Kiss (1995)"
"616",45,"Aristocats, The (1970)"
"920",45,"Gone with the Wind (1939)"
"1183",45,"English Patient, The (1996)"
"1204",45,"Lawrence of Arabia (1962)"
"1250",45,"Bridge on the River Kwai, The (1957)"
"1266",45,"Unforgiven (1992)"
"1371",45,"Star Trek: The Motion Picture (1979)"
"1690",45,"Alien: Resurrection (1997)"
"1722",45,"Tomorrow Never Dies (1997)"
"1907",45,"Mulan (1998)"
"2023",45,"Godfather: Part III, The (1990)"
"2288",45,"Thing, The (1982)"
"2294",45,"Antz (1998)"
"2490",45,"Payback (1999)"
"2890",45,"Three Kings (1999)"
"3255",45,"League of Their Own, A (1992)"
"3863",45,"Cell, The (2000)"
"4270",45,"Mummy Returns, The (2001)"
"4369",45,"Fast and the Furious, The (2001)"
"4571",45,"Bill & Ted's Excellent Adventure (1989)"
"4718",45,"American Pie 2 (2001)"
"6537",45,"Terminator 3: Rise of the Machines (2003)"
"31685",45,"Hitch (2005)"
"151",44,"Rob Roy (1995)"
"849",44,"Escape from L.A. (1996)"
"913",44,"Maltese Falcon, The (1941)"
"1333",44,"Birds, The (1963)"
"2085",44,"101 Dalmatians (One Hundred and One Dalmatians) (1961)"
"3499",44,"Misery (1990)"
"3755",44,"Perfect Storm, The (2000)"
"4975",44,"Vanilla Sky (2001)"
"5377",44,"About a Boy (2002)"
"5903",44,"Equilibrium (2002)"
"8798",44,"Collateral (2004)"
"33004",44,"Hitchhiker's Guide to the Galaxy, The (2005)"
"37729",44,"Corpse Bride (2005)"
"46976",44,"Stranger than Fiction (2006)"
"52722",44,"Spider-Man 3 (2007)"
"79702",44,"Scott Pilgrim vs. the World (2010)"
"111759",44,"Edge of Tomorrow (2014)"
"252",43,"I.Q. (1994)"
"497",43,"Much Ado About Nothing (1993)"
"852",43,"Tin Cup (1996)"
"1262",43,"Great Escape, The (1963)"
"1263",43,"Deer Hunter, The (1978)"
"1376",43,"Star Trek IV: The Voyage Home (1986)"
"1597",43,"Conspiracy Theory (1997)"
"1876",43,"Deep Impact (1998)"
"2161",43,"NeverEnding Story, The (1984)"
"2278",43,"Ronin (1998)"
"2407",43,"Cocoon (1985)"
"2455",43,"Fly, The (1986)"
"2605",43,"Entrapment (1999)"
"3275",43,"Boondock Saints, The (2000)"
"3363",43,"American Graffiti (1973)"
"3448",43,"Good Morning, Vietnam (1987)"
"3624",43,"Shanghai Noon (2000)"
"4310",43,"Pearl Harbor (2001)"
"8984",43,"Ocean's Twelve (2004)"
"47610",43,"Illusionist, The (2006)"
"60684",43,"Watchmen (2009)"
"76251",43,"Kick-Ass (2010)"
"87232",43,"X-Men: First Class (2011)"
"134853",43,"Inside Out (2015)"
"261",42,"Little Women (1994)"
"355",42,"Flintstones, The (1994)"
"431",42,"Carlito's Way (1993)"
"441",42,"Dazed and Confused (1993)"
"785",42,"Kingpin (1996)"
"1022",42,"Cinderella (1950)"
"1042",42,"That Thing You Do! (1996)"
"1088",42,"Dirty Dancing (1987)"
"1094",42,"Crying Game, The (1992)"
"1372",42,"Star Trek VI: The Undiscovered Country (1991)"
"1375",42,"Star Trek III: The Search for Spock (1984)"
"1562",42,"Batman & Robin (1997)"
"1909",42,"X-Files: Fight the Future, The (1998)"
"1967",42,"Labyrinth (1986)"
"2273",42,"Rush Hour (1998)"
"2724",42,"Runaway Bride (1999)"
"2915",42,"Risky Business (1983)"
"3210",42,"Fast Times at Ridgemont High (1982)"
"3301",42,"Whole Nine Yards, The (2000)"
"3868",42,"Naked Gun: From the Files of Police Squad!, The (1988)"
"59369",42,"Taken (2008)"
"69757",42,"(500) Days of Summer (2009)"
"81591",42,"Black Swan (2010)"
"91658",42,"Girl with the Dragon Tattoo, The (2011)"
"494",41,"Executive Decision (1996)"
"543",41,"So I Married an Axe Murderer (1993)"
"762",41,"Striptease (1996)"
"1242",41,"Glory (1989)"
"1285",41,"Heathers (1989)"
"2003",41,"Gremlins (1984)"
"2087",41,"Peter Pan (1953)"
"2968",41,"Time Bandits (1981)"
"3418",41,"Thelma & Louise (1991)"
"3617",41,"Road Trip (2000)"
"3916",41,"Remember the Titans (2000)"
"4299",41,"Knight's Tale, A (2001)"
"5810",41,"8 Mile (2002)"
"7373",41,"Hellboy (2004)"
"45517",41,"Cars (2006)"
"55247",41,"Into the Wild (2007)"
"57669",41,"In Bruges (2008)"
"115617",41,"Big Hero 6 (2014)"
"122886",41,"Star Wars: Episode VII - The Force Awakens (2015)"
"224",40,"Don Juan DeMarco (1995)"
"282",40,"Nell (1994)"
"376",40,"River Wild, The (1994)"
"471",40,"Hudsucker Proxy, The (1994)"
"529",40,"Searching for Bobby Fischer (1993)"
"1032",40,"Alice in Wonderland (1951)"
"1228",40,"Raging Bull (1980)"
"1233",40,"Boot, Das (Boat, The) (1981)"
"1569",40,"My Best Friend's Wedding (1997)"
"1674",40,"Witness (1985)"
"2193",40,"Willow (1988)"
"2541",40,"Cruel Intentions (1999)"
"3703",40,"Road Warrior, The (Mad Max 2) (1981)"
"4223",40,"Enemy at the Gates (2001)"
"4367",40,"Lara Croft: Tomb Raider (2001)"
"6218",40,"Bend It Like Beckham (2002)"
"6807",40,"Monty Python's The Meaning of Life (1983)"
"31658",40,"Howl's Moving Castle (Hauru no ugoku shiro) (2004)"
"33615",40,"Madagascar (2005)"
"41569",40,"King Kong (2005)"
"44199",40,"Inside Man (2006)"
"98809",40,"Hobbit: An Unexpected Journey, The (2012)"
"1129",39,"Escape from New York (1981)"
"1274",39,"Akira (1988)"
"1408",39,"Last of the Mohicans, The (1992)"
"1673",39,"Boogie Nights (1997)"
"1953",39,"French Connection, The (1971)"
"2094",39,"Rocketeer, The (1991)"
"2248",39,"Say Anything... (1989)"
"2580",39,"Go (1999)"
"2723",39,"Mystery Men (1999)"
"2746",39,"Little Shop of Horrors (1986)"
"2761",39,"Iron Giant, The (1999)"
"2908",39,"Boys Don't Cry (1999)"
"2951",39,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
"3039",39,"Trading Places (1983)"
