"1","2","3","4","5","6","NA","NA","NA","NA"
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Adventure","Children","Fantasy",NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Crime",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy","Horror","Thriller",NA,NA,NA,NA,NA,NA
"Action",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","War",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Children","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Drama",NA,NA,NA,NA,NA,NA,NA
"Children","Comedy",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Horror","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Horror","Romance",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Comedy","Crime","Romance",NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mystery","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Children","Comedy","Musical",NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Drama","War",NA,NA,NA,NA,NA,NA,NA
"Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Comedy","Crime",NA,NA,NA,NA,NA,NA
"Drama","Mystery",NA,NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Mystery","Romance",NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Children","Fantasy",NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy","Crime","Drama","Thriller",NA,NA,NA,NA,NA
"Adventure","Children",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA
"Adventure","Drama","IMAX",NA,NA,NA,NA,NA,NA,NA
"Action","Drama","Romance","War",NA,NA,NA,NA,NA,NA
"Drama","Horror",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Comedy","Crime",NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Drama","War",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","War",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Children",NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama","Mystery",NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Mystery","Sci-Fi",NA,NA,NA,NA,NA,NA
"Drama","Thriller","War",NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Romance","Western",NA,NA,NA,NA,NA,NA,NA
"Crime","Film-Noir","Mystery","Thriller",NA,NA,NA,NA,NA,NA
"Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Crime","Drama",NA,NA,NA,NA,NA,NA,NA
"Action","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Adventure","Children","Drama",NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Crime","Thriller",NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Children",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Horror","Thriller",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fantasy","Horror","Mystery",NA,NA,NA,NA,NA,NA,NA
"Comedy","Fantasy",NA,NA,NA,NA,NA,NA,NA,NA
"Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Horror","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Drama","Mystery","Sci-Fi","Thriller",NA,NA,NA,NA
"Drama","Musical","Romance",NA,NA,NA,NA,NA,NA,NA
"Drama","Fantasy",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Comedy","Crime","Mystery",NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","War",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Comedy",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy","Romance",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Children",NA,NA,NA,NA,NA,NA,NA,NA
"Animation","Children","Comedy","Romance",NA,NA,NA,NA,NA,NA
"Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Children","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Musical",NA,NA,NA,NA,NA,NA,NA,NA
"Children","Comedy","Fantasy",NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Children","Comedy",NA,NA,NA,NA,NA,NA,NA,NA
"Action",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Horror",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA
"Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Children","Comedy","Fantasy","Romance",NA,NA,NA,NA,NA
"Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Children","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Fantasy","Romance",NA,NA,NA,NA,NA,NA,NA
"Drama","Romance","War","Western",NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Horror","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Horror",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Drama","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA
"Action","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Thriller","Western",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horror","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Animation","Children",NA,NA,NA,NA,NA,NA,NA,NA
"Children","Drama","Fantasy","Mystery",NA,NA,NA,NA,NA,NA
"Action","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Fantasy",NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA
"Film-Noir","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Horror","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Drama","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Horror",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horror","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","War",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Drama","War",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Children",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Musical",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Film-Noir","Romance",NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA
"Drama","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Fantasy","Thriller",NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Children","Comedy","Fantasy",NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance","War",NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Action","Comedy",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Adventure","Children","Romance",NA,NA,NA,NA,NA,NA,NA
"Documentary",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Animation","Children","Drama","Musical","IMAX",NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Horror","Mystery","Thriller",NA,NA,NA,NA,NA,NA
"Action","Comedy","Crime","Fantasy",NA,NA,NA,NA,NA,NA
"Adventure","Comedy","Western",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA
"Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Children","Comedy",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Romance","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Comedy","Romance","Thriller",NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Horror","Romance","Thriller",NA,NA,NA,NA,NA,NA
"Western",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Drama",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance","War",NA,NA,NA,NA,NA,NA,NA
"Action","Crime","Drama",NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Fantasy",NA,NA,NA,NA,NA,NA,NA
"Action","Fantasy",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horror","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Children","Comedy","Fantasy",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Western",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy","Crime","Thriller",NA,NA,NA,NA,NA,NA
"Adventure","Children","Drama",NA,NA,NA,NA,NA,NA,NA
"Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Horror","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA
"Drama","Mystery","Romance","Thriller",NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Comedy","Western",NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Thriller",NA,NA,NA,NA,NA,NA,NA
"Comedy","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Comedy","Drama",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Sci-Fi",NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Mystery","Romance",NA,NA,NA,NA,NA,NA,NA
"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA
"Adventure","Children","Drama",NA,NA,NA,NA,NA,NA,NA
"Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA
"Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Western",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Crime","Drama","Romance","Thriller",NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Action","Adventure","Crime","Thriller",NA,NA,NA,NA,NA,NA
"Action","Comedy","War",NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comedy","Drama",NA,NA,NA,NA,NA,NA,NA,NA
